pair;round;nrTurns;success
254;3;1;true
254;4;7;true
254;5;1;true
255;0;2;true
255;1;1;true
255;2;1;true
255;3;1;false
255;4;1;false
255;5;1;true
256;0;7;true
256;1;4;true
256;2;1;true
256;3;1;true
256;4;7;false
256;5;4;false
257;0;2;true
257;1;1;true
257;2;1;false
257;3;1;false
257;4;1;true
257;5;1;false
258;0;7;false
258;1;4;false
258;2;1;false
258;3;7;true
258;4;4;false
258;5;1;false
259;0;3;true
259;1;7;true
259;2;7;true
259;3;5;false
259;4;1;false
259;5;1;true
260;0;5;true
260;1;1;true
260;2;7;false
260;3;7;true
260;4;3;false
260;5;1;true
261;0;2;true
261;1;1;true
261;2;1;false
261;3;1;false
261;4;1;false
261;5;1;false
262;0;4;true
262;1;7;false
262;2;6;true
262;3;1;true
262;4;5;false
262;5;1;false
263;0;2;false
263;1;1;false
263;2;1;false
263;3;1;true
263;4;1;false
263;5;1;true
264;0;2;true
264;1;7;false
264;2;7;false
264;3;6;false
264;4;1;false
264;5;1;false
265;0;3;true
265;1;1;true
265;2;1;true
265;3;1;true
265;4;7;true
265;5;7;false
266;0;3;true
266;1;1;true
266;2;1;true
266;3;1;true
266;4;4;true
266;5;1;true
267;0;5;true
267;1;1;false
267;2;1;true
267;3;1;true
267;4;7;false
267;5;7;false
268;0;2;true
268;1;1;true
268;2;5;true
268;3;1;true
268;4;1;true
268;5;7;false
269;0;3;true
269;1;2;false
269;2;7;false
269;3;3;true
269;4;7;true
269;5;2;false
270;0;7;true
270;1;7;false
270;2;7;false
270;3;1;false
270;4;1;true
270;5;1;true
271;0;7;false
271;1;7;false
271;2;7;false
271;3;2;false
271;4;1;false
271;5;1;true
272;0;6;true
272;1;2;true
272;2;1;true
272;3;1;false
272;4;1;true
272;5;2;true
273;0;2;true
273;1;1;true
273;2;1;true
273;3;1;false
273;4;1;true
273;5;1;true
274;0;6;true
274;1;2;true
274;2;1;true
274;3;1;true
274;4;1;true
274;5;1;true
275;0;2;true
275;1;1;false
275;2;1;true
275;3;1;false
275;4;1;true
275;5;1;true
276;0;4;true
276;1;1;true
276;2;1;false
276;3;1;false
276;4;1;true
276;5;7;true
277;0;2;true
277;1;1;true
277;2;1;true
277;3;1;false
277;4;1;true
277;5;1;true
278;0;2;true
278;1;3;false
278;2;1;true
278;3;1;true
278;4;7;false
278;5;7;false
279;0;3;true
279;1;1;true
279;2;1;true
279;3;1;true
279;4;2;false
279;5;2;true
280;0;2;false
280;1;7;false
280;2;7;false
280;3;6;true
280;4;1;true
280;5;1;false
281;0;2;true
281;1;1;true
281;2;1;false
281;3;1;false
281;4;1;true
281;5;1;false
282;0;7;false
282;1;5;true
282;2;5;false
282;3;6;true
282;4;1;false
282;5;1;false
283;0;5;true
283;1;1;false
283;2;2;true
283;3;1;false
283;4;1;true
283;5;1;true
284;0;5;false
284;1;1;true
284;2;1;true
284;3;1;true
284;4;1;true
284;5;1;true
285;0;3;false
285;1;1;false
285;2;1;false
285;3;1;false
285;4;1;false
285;5;1;true
286;0;2;true
286;1;1;true
286;2;1;true
286;3;1;true
286;4;1;true
286;5;1;true
287;0;2;true
287;1;1;true
287;2;1;true
287;3;1;true
287;4;1;true
287;5;1;true
288;0;2;true
288;1;1;true
288;2;1;true
288;3;1;true
288;4;1;true
288;5;1;true
289;0;3;true
289;1;2;true
289;2;3;true
289;3;3;false
289;4;7;true
289;5;1;true
290;0;2;true
